Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Schecule,Chrome 144.0.7559.110,,,03-02-2026 13:55:48,03-02-2026 13:57:15,1m - 26.280s,FAILED
,,,,,,,
Start listener action : setupCrudData,Chrome 144.0.7559.110,,,03-02-2026 13:55:49,03-02-2026 13:55:50,1.510s,PASSED
,,,,,,,
Test Cases/Module - Auth/Positive/Login User,Chrome 144.0.7559.110,,,03-02-2026 13:55:50,03-02-2026 13:56:04,14.226s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:55:50,03-02-2026 13:55:50,0.007s,PASSED
openBrowser(Url),Chrome 144.0.7559.110,,,03-02-2026 13:55:50,03-02-2026 13:55:54,3.552s,PASSED
maximizeWindow(),Chrome 144.0.7559.110,,,03-02-2026 13:55:54,03-02-2026 13:55:54,0.098s,PASSED
"setText(findTestObject(""login session object/Input - Email""), Email)",Chrome 144.0.7559.110,,,03-02-2026 13:55:54,03-02-2026 13:56:02,7.559s,PASSED
"setText(findTestObject(""login session object/Input - Password""), Password)",Chrome 144.0.7559.110,,,03-02-2026 13:56:02,03-02-2026 13:56:03,1.556s,PASSED
"click(findTestObject(""login session object/Button - Login""))",Chrome 144.0.7559.110,,,03-02-2026 13:56:03,03-02-2026 13:56:04,1.232s,PASSED
,,,,,,,
Test Cases/Click - Fixed Asset Button,Chrome 144.0.7559.110,,,03-02-2026 13:56:04,03-02-2026 13:56:13,9.039s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:56:04,03-02-2026 13:56:04,0.005s,PASSED
"click(findTestObject(""login session object/Button - Fixed Asset""))",Chrome 144.0.7559.110,,,03-02-2026 13:56:05,03-02-2026 13:56:13,8.982s,PASSED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Open - Addon Maintenance Routine,Chrome 144.0.7559.110,,,03-02-2026 13:56:14,03-02-2026 13:56:44,30.346s,FAILED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:56:14,03-02-2026 13:56:14,0.003s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Sidebar Menu - Addon""))",Chrome 144.0.7559.110,,,03-02-2026 13:56:14,03-02-2026 13:56:44,30.278s,FAILED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Positive/Create Schedule - From Maintenance routine,Chrome 144.0.7559.110,,,03-02-2026 13:56:44,03-02-2026 13:57:14,30.429s,FAILED
"DATA BINDING - {""(Default) secon..."":""Value 2"",""(Default) first..."":""Value 1""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:56:44,03-02-2026 13:56:44,0.002s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Schedule""))",Chrome 144.0.7559.110,,,03-02-2026 13:56:44,03-02-2026 13:57:14,30.199s,FAILED
