Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object - Maintenance Routine/Button - Submit""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:24,03-02-2026 10:01:26,1.361s,PASSED
"company.validatorMessage.verifyErrorMessage(""You must pick a category"")",Chrome 144.0.7559.110,,,03-02-2026 10:01:26,03-02-2026 10:01:26,0.518s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Close""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:26,03-02-2026 10:01:27,1.212s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Continue""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:27,03-02-2026 10:01:29,1.281s,PASSED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Negative (New)/Create - New Indicator Template with Template Desc over 120char,Chrome 144.0.7559.110,,,03-02-2026 10:01:29,03-02-2026 10:02:08,39.179s,PASSED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 10:01:29,03-02-2026 10:01:29,0.007s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Tab - Operations""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:29,03-02-2026 10:01:30,1.360s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Badge - Indicator""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:30,03-02-2026 10:01:34,4.154s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Add Template""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:34,03-02-2026 10:01:37,2.661s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Template Name""), ""Testing Template Selection"")",Chrome 144.0.7559.110,,,03-02-2026 10:01:37,03-02-2026 10:01:39,1.761s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Select Category in Dialog""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:39,03-02-2026 10:01:40,1.175s,PASSED
company.EntitySelector.selectCategoryInDialog(defaultCategory),Chrome 144.0.7559.110,,,03-02-2026 10:01:40,03-02-2026 10:01:42,2.247s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Select""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:42,03-02-2026 10:01:44,1.796s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Template Description""), generatedOver120Name)",Chrome 144.0.7559.110,,,03-02-2026 10:01:44,03-02-2026 10:01:46,1.943s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Add Indicator""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:46,03-02-2026 10:01:47,1.428s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Indicator Name""), ""Servis"")",Chrome 144.0.7559.110,,,03-02-2026 10:01:47,03-02-2026 10:01:49,1.698s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Input - Select Type""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:49,03-02-2026 10:01:51,1.382s,PASSED
"click(findTestObject(""Object - Maintenance Routine/List - Selection""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:51,03-02-2026 10:01:52,1.396s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Input - Value Type""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:52,03-02-2026 10:01:53,1.375s,PASSED
"click(findTestObject(""Object - Maintenance Routine/List - Text""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:53,03-02-2026 10:01:55,1.343s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Measurement""), ""Condition"")",Chrome 144.0.7559.110,,,03-02-2026 10:01:55,03-02-2026 10:01:56,1.708s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Add Selection""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:56,03-02-2026 10:01:58,1.403s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Selection value 1""), ""Good"")",Chrome 144.0.7559.110,,,03-02-2026 10:01:58,03-02-2026 10:02:00,1.701s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Selection value 2""), ""Need Repair"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:00,03-02-2026 10:02:01,1.505s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Selection value 3""), ""Broken"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:01,03-02-2026 10:02:02,1.482s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Save""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:02,03-02-2026 10:02:04,1.231s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Submit""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:04,03-02-2026 10:02:05,1.377s,PASSED
"company.validatorMessage.verifyErrorMessage(""Max. 120 characters"")",Chrome 144.0.7559.110,,,03-02-2026 10:02:05,03-02-2026 10:02:05,0.263s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Close""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:05,03-02-2026 10:02:07,1.179s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Continue""))",Chrome 144.0.7559.110,,,03-02-2026 10:02:07,03-02-2026 10:02:08,1.389s,PASSED
,,,,,,,
