Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Schecule,Chrome 144.0.7559.110,,,03-02-2026 14:04:18,03-02-2026 14:05:47,1m - 28.681s,FAILED
,,,,,,,
Start listener action : setupCrudData,Chrome 144.0.7559.110,,,03-02-2026 14:04:18,03-02-2026 14:04:19,0.683s,PASSED
,,,,,,,
Test Cases/Module - Auth/Positive/Login User,Chrome 144.0.7559.110,,,03-02-2026 14:04:19,03-02-2026 14:04:32,13.494s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:04:19,03-02-2026 14:04:19,0.007s,PASSED
openBrowser(Url),Chrome 144.0.7559.110,,,03-02-2026 14:04:19,03-02-2026 14:04:22,3.352s,PASSED
maximizeWindow(),Chrome 144.0.7559.110,,,03-02-2026 14:04:22,03-02-2026 14:04:22,0.100s,PASSED
"setText(findTestObject(""login session object/Input - Email""), Email)",Chrome 144.0.7559.110,,,03-02-2026 14:04:22,03-02-2026 14:04:29,7.180s,PASSED
"setText(findTestObject(""login session object/Input - Password""), Password)",Chrome 144.0.7559.110,,,03-02-2026 14:04:29,03-02-2026 14:04:31,1.552s,PASSED
"click(findTestObject(""login session object/Button - Login""))",Chrome 144.0.7559.110,,,03-02-2026 14:04:31,03-02-2026 14:04:32,1.180s,PASSED
,,,,,,,
Test Cases/Click - Fixed Asset Button,Chrome 144.0.7559.110,,,03-02-2026 14:04:32,03-02-2026 14:04:45,12.865s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:04:32,03-02-2026 14:04:32,0.003s,PASSED
"click(findTestObject(""login session object/Button - Fixed Asset""))",Chrome 144.0.7559.110,,,03-02-2026 14:04:32,03-02-2026 14:04:45,12.739s,PASSED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Open - Addon Maintenance Routine,Chrome 144.0.7559.110,,,03-02-2026 14:04:45,03-02-2026 14:05:16,30.658s,FAILED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:04:45,03-02-2026 14:04:45,0.002s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Sidebar Menu - Addon""))",Chrome 144.0.7559.110,,,03-02-2026 14:04:45,03-02-2026 14:05:16,30.602s,FAILED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Positive/Create Schedule - From Maintenance routine,Chrome 144.0.7559.110,,,03-02-2026 14:05:16,03-02-2026 14:05:46,30.609s,FAILED
"DATA BINDING - {""(Default) secon..."":""Value 2"",""(Default) first..."":""Value 1""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:05:16,03-02-2026 14:05:16,0.002s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Tab - Operations""))",Chrome 144.0.7559.110,,,03-02-2026 14:05:16,03-02-2026 14:05:46,30.385s,FAILED
