Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Schecule,Chrome 144.0.7559.110,,,03-02-2026 13:58:10,03-02-2026 13:59:46,1m - 35.621s,FAILED
,,,,,,,
Start listener action : setupCrudData,Chrome 144.0.7559.110,,,03-02-2026 13:58:10,03-02-2026 13:58:11,0.840s,PASSED
,,,,,,,
Test Cases/Module - Auth/Positive/Login User,Chrome 144.0.7559.110,,,03-02-2026 13:58:11,03-02-2026 13:58:31,19.220s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:58:11,03-02-2026 13:58:11,0.007s,PASSED
openBrowser(Url),Chrome 144.0.7559.110,,,03-02-2026 13:58:12,03-02-2026 13:58:15,3.658s,PASSED
maximizeWindow(),Chrome 144.0.7559.110,,,03-02-2026 13:58:15,03-02-2026 13:58:15,0.074s,PASSED
"setText(findTestObject(""login session object/Input - Email""), Email)",Chrome 144.0.7559.110,,,03-02-2026 13:58:15,03-02-2026 13:58:28,12.307s,PASSED
"setText(findTestObject(""login session object/Input - Password""), Password)",Chrome 144.0.7559.110,,,03-02-2026 13:58:28,03-02-2026 13:58:29,1.846s,PASSED
"click(findTestObject(""login session object/Button - Login""))",Chrome 144.0.7559.110,,,03-02-2026 13:58:29,03-02-2026 13:58:31,1.182s,PASSED
,,,,,,,
Test Cases/Click - Fixed Asset Button,Chrome 144.0.7559.110,,,03-02-2026 13:58:31,03-02-2026 13:58:45,13.903s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:58:31,03-02-2026 13:58:31,0.008s,PASSED
"click(findTestObject(""login session object/Button - Fixed Asset""))",Chrome 144.0.7559.110,,,03-02-2026 13:58:31,03-02-2026 13:58:45,13.825s,PASSED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Open - Addon Maintenance Routine,Chrome 144.0.7559.110,,,03-02-2026 13:58:45,03-02-2026 13:59:15,30.426s,FAILED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:58:45,03-02-2026 13:58:45,0.003s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Sidebar Menu - Addon""))",Chrome 144.0.7559.110,,,03-02-2026 13:58:45,03-02-2026 13:59:15,30.365s,FAILED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Positive/Create Schedule - From Maintenance routine,Chrome 144.0.7559.110,,,03-02-2026 13:59:15,03-02-2026 13:59:46,30.828s,FAILED
"DATA BINDING - {""(Default) secon..."":""Value 2"",""(Default) first..."":""Value 1""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 13:59:15,03-02-2026 13:59:15,0.002s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Tab - Operations""))",Chrome 144.0.7559.110,,,03-02-2026 13:59:15,03-02-2026 13:59:46,30.545s,FAILED
